幣別,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天
 USD,     買入, 31.43500, 31.73500, 31.72500, 31.70600, 31.68300, 31.66000, 31.63100, 31.60300, 31.57300,     賣出, 31.97700, 31.83500, 31.82900, 31.81700, 31.79800, 31.77400, 31.75700, 31.73500, 31.71800,
 HKD,     買入,  3.94700,  4.06700,  4.06600,  4.06500,  4.06300,  4.06200,  4.06000,  4.05800,  4.05500,     賣出,  4.14200,  4.12700,  4.12700,  4.12800,  4.12700,  4.12600,  4.12500,  4.12400,  4.12300,
 GBP,     買入, 40.55000, 41.42000, 41.41400, 41.40200, 41.40200, 41.39700, 41.38800, 41.37900, 41.37000,     賣出, 42.48000, 41.84000, 41.84500, 41.85500, 41.85500, 41.85300, 41.85900, 41.86500, 41.87100,
 AUD,     買入, 23.67000, 23.86000, 23.84200, 23.80600, 23.76900, 23.73200, 23.69000, 23.65000, 23.60800,     賣出, 24.33000, 24.09000, 24.08200, 24.06500, 24.03000, 23.99300, 23.95900, 23.92800, 23.89700,
 CAD,     買入, 24.04000, 24.31000, 24.30400, 24.29300, 24.27900, 24.26500, 24.24700, 24.22900, 24.21100,     賣出, 24.78000, 24.53000, 24.53000, 24.52900, 24.51700, 24.50300, 24.49400, 24.48500, 24.47500,
 SGD,     買入, 22.84000, 23.26000, 23.25100, 23.23200, 23.21100, 23.19200, 23.16700, 23.14200, 23.11700,     賣出, 23.62000, 23.44000, 23.44000, 23.43900, 23.42000, 23.40100, 23.38400, 23.36600, 23.34800,
 CHF,     買入, 31.83000, 32.36000, 32.36500, 32.37600, 32.40100, 32.43300, 32.46400, 32.49600, 32.52700,     賣出, 32.89000, 32.65000, 32.67200, 32.71500, 32.75600, 32.79200, 32.83800, 32.88400, 32.93100,
 JPY,     買入,  0.30250,  0.30890,  0.30890,  0.30880,  0.30900,  0.30920,  0.30940,  0.30950,  0.30970,     賣出,  0.31350,  0.31290,  0.31300,  0.31320,  0.31350,  0.31370,  0.31400,  0.31430,  0.31470,
 ZAR,     買入,  0.00000,  2.16000,  2.15400,  2.14300,  2.12800,  2.11400,  2.09900,  2.08400,  2.06900,     賣出,  0.00000,  2.24000,  2.23600,  2.22700,  2.21200,  2.19800,  2.18300,  2.16900,  2.15500,
 SEK,     買入,  3.36000,  3.70000,  3.70100,  3.70200,  3.70600,  3.70900,  3.71100,  3.71400,  3.71700,     賣出,  3.87000,  3.80000,  3.80200,  3.80600,  3.81000,  3.81300,  3.81700,  3.82100,  3.82500,
 NZD,     買入, 22.65000, 22.89000, 22.87100, 22.83200, 22.78800, 22.74400, 22.69900, 22.65500, 22.61000,     賣出, 23.28000, 23.09000, 23.07900, 23.05800, 23.01500, 22.97200, 22.93500, 22.89800, 22.86200,
 THB,     買入,  0.81400,  0.90250,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.95700,  0.94250,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 PHP,     買入,  0.63490,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.76790,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 IDR,     買入,  0.00208,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00278,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 EUR,     買入, 34.84000, 35.34000, 35.33800, 35.33500, 35.35800, 35.37400, 35.39100, 35.40900, 35.42600,     賣出, 35.99000, 35.74000, 35.75300, 35.78000, 35.81400, 35.83300, 35.86800, 35.90200, 35.93700,
 KRW,     買入,  0.02655,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.03045,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 VND,     買入,  0.00105,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00155,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 MYR,     買入,  6.61600,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  8.41100,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 CNY,     買入,  4.65300,  4.72500,  4.72110,  4.71320,  4.70140,  4.68990,  4.67720,  4.66450,  4.65190,     賣出,  4.81500,  4.77500,  4.77330,  4.76980,  4.77360,  4.75180,  4.74310,  4.73450,  4.72590,
