幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.82500,30.12500,30.10800,30.07400,30.02400,29.97800,29.92800,29.87800,29.82500,本行賣出,30.36700,30.22500,30.21200,30.18700,30.13700,30.09000,30.04700,30.01000,29.97300,
HKD,本行買入,3.73400,3.85400,3.85300,3.85000,3.84700,3.84300,3.83800,3.83300,3.82800,本行賣出,3.92900,3.91400,3.91400,3.91300,3.91100,3.90700,3.90400,3.90000,3.89700,
GBP,本行買入,36.83000,37.70000,37.68500,37.65600,37.64800,37.63000,37.60400,37.57900,37.55300,本行賣出,38.76000,38.12000,38.12200,38.12500,38.12200,38.10600,38.09400,38.08100,38.06800,
AUD,本行買入,22.66000,22.85000,22.83200,22.79600,22.75600,22.71000,22.66000,22.61100,22.56200,本行賣出,23.32000,23.08000,23.06900,23.04800,23.01000,22.96500,22.92300,22.88200,22.84100,
CAD,本行買入,22.17000,22.44000,22.43000,22.40900,22.39100,22.36900,22.34300,22.31600,22.28900,本行賣出,22.91000,22.66000,22.65700,22.65000,22.63300,22.61300,22.59400,22.57500,22.55600,
SGD,本行買入,21.15000,21.57000,21.56000,21.54000,21.51700,21.49400,21.46400,21.43300,21.40200,本行賣出,21.93000,21.75000,21.74800,21.74300,21.72800,21.70400,21.68100,21.65800,21.63500,
CHF,本行買入,29.93000,30.46000,30.46000,30.46000,30.48700,30.50900,30.52500,30.54200,30.55800,本行賣出,30.99000,30.75000,30.76000,30.77900,30.81000,30.83600,30.86400,30.89200,30.92000,
JPY,本行買入,0.26440,0.27080,0.27080,0.27070,0.27090,0.27090,0.27090,0.27090,0.27080,本行賣出,0.27540,0.27480,0.27480,0.27490,0.27500,0.27500,0.27510,0.27510,0.27510,
ZAR,本行買入,0.00000,2.31000,2.30400,2.29300,2.27800,2.26200,2.24600,2.23000,2.21400,本行賣出,0.00000,2.39000,2.38600,2.37700,2.36300,2.34600,2.33100,2.31600,2.30100,
SEK,本行買入,3.05000,3.39000,3.39000,3.38900,3.39100,3.39200,3.39300,3.39300,3.39300,本行賣出,3.56000,3.49000,3.49100,3.49300,3.49500,3.49600,3.49800,3.49900,3.50100,
NZD,本行買入,20.90000,21.14000,21.12000,21.08000,21.03800,20.99000,20.93900,20.88800,20.83800,本行賣出,21.53000,21.34000,21.33000,21.31000,21.27000,21.22400,21.18000,21.13700,21.09400,
THB,本行買入,0.77390,0.86240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.91690,0.90240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.55270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.68570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00193,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00263,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,32.09000,32.59000,32.59000,32.59300,32.59500,32.59600,32.59500,32.60300,32.60500,本行賣出,33.24000,32.99000,32.99500,33.00600,32.99900,33.00000,33.00200,33.01000,33.01700,
KRW,本行買入,0.02543,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02933,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.78100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.31600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.29900,4.37100,4.36410,4.35030,4.33020,4.31220,4.29400,4.27580,4.25760,本行賣出,4.46100,4.42100,4.41630,4.40690,4.39110,4.37710,4.36410,4.35110,4.33830,
