幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,28.91000,29.21000,29.19300,29.15800,29.11300,29.05700,28.99500,28.93000,28.86200,本行賣出,29.45200,29.31000,29.29700,29.27000,29.22400,29.16800,29.11200,29.05500,29.00000,
HKD,本行買入,3.59700,3.71200,3.71000,3.70600,3.70100,3.69600,3.69000,3.68300,3.67700,本行賣出,3.78700,3.77200,3.77100,3.76900,3.76500,3.75900,3.75500,3.75100,3.74600,
GBP,本行買入,39.81000,40.68000,40.66200,40.62700,40.58900,40.55600,40.51600,40.47500,40.43400,本行賣出,41.74000,41.10000,41.09500,41.08400,41.04800,41.01900,40.99200,40.96500,40.93800,
AUD,本行買入,23.02000,23.21000,23.19200,23.15500,23.11200,23.06300,23.01400,22.96300,22.91400,本行賣出,23.68000,23.44000,23.42900,23.40800,23.36400,23.31900,23.27700,23.23500,23.19400,
CAD,本行買入,23.09000,23.36000,23.34800,23.32500,23.28600,23.24300,23.20000,23.15700,23.11500,本行賣出,23.83000,23.58000,23.57700,23.57100,23.53100,23.49200,23.45800,23.42500,23.39200,
SGD,本行買入,21.68000,22.10000,22.08500,22.05500,22.02400,21.99200,21.95600,21.92000,21.88300,本行賣出,22.46000,22.28000,22.27400,22.26200,22.23200,22.20400,22.17600,22.14800,22.12000,
CHF,本行買入,29.73000,30.26000,30.25600,30.24900,30.25900,30.27400,30.27700,30.28000,30.28300,本行賣出,30.79000,30.55000,30.56000,30.58000,30.57800,30.59700,30.61900,30.64200,30.66400,
JPY,本行買入,0.25540,0.26180,0.26180,0.26170,0.26170,0.26170,0.26170,0.26160,0.26150,本行賣出,0.26640,0.26580,0.26590,0.26600,0.26590,0.26600,0.26600,0.26600,0.26600,
ZAR,本行買入,0.00000,2.37000,2.36400,2.35100,2.33700,2.32200,2.30700,2.29200,2.27700,本行賣出,0.00000,2.45000,2.44500,2.43600,2.42300,2.40800,2.39400,2.38000,2.36600,
SEK,本行買入,3.26000,3.60000,3.59900,3.59700,3.59700,3.59800,3.59700,3.59700,3.59600,本行賣出,3.77000,3.70000,3.70100,3.70300,3.70100,3.70200,3.70300,3.70500,3.70600,
NZD,本行買入,21.08000,21.32000,21.29900,21.25600,21.21100,21.16300,21.11300,21.06400,21.01400,本行賣出,21.71000,21.52000,21.50900,21.48800,21.44200,21.39700,21.35500,21.31300,21.27100,
THB,本行買入,0.81540,0.90390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.95840,0.94390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.49920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.63220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00258,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.16000,35.66000,35.65900,35.65600,35.66000,35.67000,35.66600,35.66100,35.65600,本行賣出,36.31000,36.06000,36.07100,36.09300,36.09800,36.10800,36.11700,36.12600,36.13500,
KRW,本行買入,0.02557,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02947,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.38000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.97000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.47500,4.54700,4.54110,4.52930,4.51330,4.49470,4.47530,4.45600,4.43680,本行賣出,4.63700,4.59700,4.59250,4.58340,4.57060,4.55800,4.54390,4.52990,4.51590,
