幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.27500,30.57500,30.56100,30.53300,30.49100,30.44600,30.39300,30.34500,30.29300,本行賣出,30.81700,30.67500,30.66500,30.64500,30.60300,30.55800,30.51200,30.47500,30.43500,
HKD,本行買入,3.79000,3.91000,3.90800,3.90500,3.90300,3.89900,3.89400,3.88900,3.88400,本行賣出,3.98500,3.97000,3.97000,3.97000,3.96700,3.96300,3.96000,3.95700,3.95400,
GBP,本行買入,36.99000,37.86000,37.84200,37.80700,37.78300,37.75700,37.72500,37.69200,37.66000,本行賣出,38.92000,38.28000,38.28100,38.28200,38.25800,38.23300,38.21500,38.19700,38.17900,
AUD,本行買入,22.69000,22.88000,22.86000,22.81900,22.77500,22.72800,22.67800,22.62800,22.58000,本行賣出,23.35000,23.11000,23.10100,23.08400,23.03900,22.99200,22.95100,22.90900,22.86900,
CAD,本行買入,22.62000,22.89000,22.87800,22.85300,22.83300,22.80900,22.78200,22.75500,22.72700,本行賣出,23.36000,23.11000,23.10900,23.10700,23.08600,23.06100,23.04200,23.02300,23.00400,
SGD,本行買入,21.28000,21.70000,21.68600,21.65800,21.63500,21.60600,21.57400,21.54200,21.50900,本行賣出,22.06000,21.88000,21.87800,21.87300,21.84900,21.82100,21.80200,21.78200,21.76200,
CHF,本行買入,29.67000,30.20000,30.19700,30.19200,30.21000,30.22100,30.23100,30.24200,30.25200,本行賣出,30.73000,30.49000,30.49900,30.51800,30.53600,30.55000,30.57100,30.59200,30.61400,
JPY,本行買入,0.26800,0.27440,0.27430,0.27420,0.27420,0.27420,0.27410,0.27410,0.27400,本行賣出,0.27900,0.27840,0.27850,0.27860,0.27850,0.27850,0.27850,0.27860,0.27860,
ZAR,本行買入,0.00000,2.15000,2.14500,2.13400,2.11900,2.10400,2.08900,2.07400,2.06000,本行賣出,0.00000,2.23000,2.22600,2.21800,2.20300,2.18900,2.17400,2.16000,2.14600,
SEK,本行買入,2.99000,3.33000,3.32900,3.32800,3.32800,3.32900,3.32900,3.32800,3.32800,本行賣出,3.50000,3.43000,3.43100,3.43200,3.43300,3.43300,3.43400,3.43500,3.43700,
NZD,本行買入,20.96000,21.20000,21.17900,21.13700,21.09100,21.04500,20.99600,20.94700,20.89700,本行賣出,21.59000,21.40000,21.39100,21.37300,21.32700,21.28100,21.24000,21.19800,21.15700,
THB,本行買入,0.78160,0.87010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.92460,0.91010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.56760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.70060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00198,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,31.73000,32.23000,32.23100,32.23500,32.23600,32.23700,32.23800,32.24000,32.25000,本行賣出,32.88000,32.63000,32.63900,32.65700,32.66000,32.66500,32.67700,32.68800,32.69900,
KRW,本行買入,0.02501,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02891,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.85300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.38800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.33500,4.40700,4.40080,4.38830,4.37010,4.35110,4.33230,4.31350,4.29480,本行賣出,4.49700,4.45700,4.45250,4.44350,4.42830,4.41360,4.40020,4.38680,4.37350,
