幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.64500,29.94500,29.92700,29.89000,29.83900,29.78700,29.72000,29.67000,29.60200,本行賣出,30.18700,30.04500,30.03200,30.00500,29.95100,29.90200,29.84200,29.79500,29.74300,
HKD,本行買入,3.69100,3.81100,3.80900,3.80500,3.80000,3.79500,3.78800,3.78200,3.77500,本行賣出,3.88600,3.87100,3.87000,3.86800,3.86300,3.85700,3.85200,3.84800,3.84300,
GBP,本行買入,39.34000,40.21000,40.20000,40.18100,40.15200,40.11700,40.07400,40.03100,39.98900,本行賣出,41.27000,40.63000,40.62700,40.62100,40.60800,40.57400,40.54400,40.51400,40.48300,
AUD,本行買入,22.44000,22.63000,22.61300,22.57900,22.53600,22.49300,22.44300,22.39500,22.34700,本行賣出,23.10000,22.86000,22.85000,22.83000,22.78500,22.74500,22.70200,22.66000,22.61900,
CAD,本行買入,22.94000,23.21000,23.19900,23.17700,23.14500,23.11200,23.07200,23.03200,22.99200,本行賣出,23.68000,23.43000,23.42500,23.41500,23.38200,23.35100,23.31800,23.28600,23.25300,
SGD,本行買入,21.75000,22.17000,22.15600,22.12800,22.09800,22.06400,22.02800,21.99100,21.95400,本行賣出,22.53000,22.35000,22.34400,22.33200,22.29700,22.27400,22.24300,22.21100,22.18000,
CHF,本行買入,29.79000,30.32000,30.32900,30.34600,30.36200,30.36900,30.37600,30.38200,30.38900,本行賣出,30.85000,30.61000,30.62700,30.66100,30.67500,30.68600,30.70200,30.71800,30.73400,
JPY,本行買入,0.25950,0.26590,0.26590,0.26590,0.26580,0.26580,0.26570,0.26560,0.26550,本行賣出,0.27050,0.26990,0.27000,0.27010,0.27000,0.27000,0.27000,0.27000,0.27000,
ZAR,本行買入,0.00000,2.15000,2.14500,2.13400,2.11900,2.10500,2.09000,2.07600,2.06100,本行賣出,0.00000,2.23000,2.22600,2.21700,2.20200,2.18900,2.17500,2.16100,2.14700,
SEK,本行買入,3.20000,3.54000,3.54100,3.54300,3.54300,3.54300,3.54300,3.54200,3.54200,本行賣出,3.71000,3.64000,3.64200,3.64700,3.64700,3.64700,3.64800,3.64900,3.64900,
NZD,本行買入,20.19000,20.43000,20.41300,20.38000,20.33600,20.29300,20.24400,20.19500,20.14600,本行賣出,20.82000,20.63000,20.61900,20.59700,20.55100,20.51000,20.46800,20.42600,20.38400,
THB,本行買入,0.81510,0.90360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.95810,0.94360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.54660,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.67960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00258,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.89000,35.39000,35.39300,35.39800,35.40400,35.40100,35.39600,35.39100,35.38600,本行賣出,36.04000,35.79000,35.80500,35.83400,35.83700,35.83700,35.84300,35.84900,35.85400,
KRW,本行買入,0.02586,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.27700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.84700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.43900,4.51100,4.50430,4.49080,4.46920,4.44960,4.42890,4.40840,4.38790,本行賣出,4.60100,4.56100,4.55650,4.54760,4.53040,4.51560,4.50040,4.48530,4.47020,
