幣別,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天
 USD,     買入, 32.00500, 32.30500, 32.29500, 32.27600, 32.25100, 32.22800, 32.20300, 32.18200, 32.15400,     賣出, 32.54700, 32.40500, 32.39900, 32.38800, 32.36600, 32.34400, 32.32700, 32.30800, 32.29500,
 HKD,     買入,  4.01900,  4.13900,  4.13800,  4.13700,  4.13600,  4.13500,  4.13200,  4.12900,  4.12600,     賣出,  4.21400,  4.19900,  4.19900,  4.20000,  4.19900,  4.19800,  4.19600,  4.19400,  4.19200,
 GBP,     買入, 41.97000, 42.84000, 42.82600, 42.79900, 42.78100, 42.75900, 42.73900, 42.71800, 42.69800,     賣出, 43.90000, 43.26000, 43.25900, 43.25700, 43.23900, 43.22200, 43.21400, 43.20600, 43.19800,
 AUD,     買入, 23.60000, 23.79000, 23.77200, 23.73600, 23.69900, 23.66100, 23.61900, 23.58000, 23.54000,     賣出, 24.26000, 24.02000, 24.00800, 23.98500, 23.94900, 23.91200, 23.87700, 23.84400, 23.81100,
 CAD,     買入, 24.45000, 24.72000, 24.71100, 24.69200, 24.67900, 24.66400, 24.64700, 24.63100, 24.61400,     賣出, 25.19000, 24.94000, 24.93800, 24.93300, 24.92100, 24.90800, 24.89800, 24.88800, 24.87800,
 SGD,     買入, 23.41000, 23.83000, 23.81600, 23.78700, 23.76000, 23.73500, 23.70500, 23.67500, 23.64500,     賣出, 24.19000, 24.01000, 24.00600, 23.99800, 23.97600, 23.94600, 23.92400, 23.90200, 23.88000,
 CHF,     買入, 32.29000, 32.82000, 32.82400, 32.83200, 32.85700, 32.88300, 32.91100, 32.93900, 32.96700,     賣出, 33.35000, 33.11000, 33.12400, 33.15300, 33.17900, 33.20900, 33.24600, 33.28300, 33.32000,
 JPY,     買入,  0.30830,  0.31470,  0.31470,  0.31460,  0.31470,  0.31490,  0.31500,  0.31520,  0.31530,     賣出,  0.31930,  0.31870,  0.31880,  0.31910,  0.31920,  0.31940,  0.31970,  0.32000,  0.32030,
 ZAR,     買入,  0.00000,  2.09000,  2.08500,  2.07500,  2.06100,  2.04700,  2.03300,  2.01900,  2.00600,     賣出,  0.00000,  2.19000,  2.18600,  2.17700,  2.16400,  2.15000,  2.13700,  2.12400,  2.11100,
 SEK,     買入,  3.42000,  3.76000,  3.76000,  3.76100,  3.76200,  3.76500,  3.76800,  3.77000,  3.77200,     賣出,  3.93000,  3.86000,  3.86100,  3.86400,  3.86700,  3.86900,  3.87300,  3.87600,  3.87900,
 NZD,     買入, 22.54000, 22.78000, 22.75900, 22.71600, 22.67300, 22.62600, 22.58100, 22.53600, 22.49000,     賣出, 23.17000, 22.98000, 22.96700, 22.94100, 22.89800, 22.85300, 22.81400, 22.77500, 22.73600,
 THB,     買入,  0.81430,  0.90280,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.95730,  0.94280,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 PHP,     買入,  0.63920,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.77220,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 IDR,     買入,  0.00213,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00283,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 EUR,     買入, 35.08000, 35.58000, 35.57900, 35.57600, 35.58400, 35.60100, 35.61400, 35.62800, 35.64100,     賣出, 36.23000, 35.98000, 35.99400, 36.02100, 36.03800, 36.06200, 36.08700, 36.11300, 36.13900,
 KRW,     買入,  0.02613,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.03003,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 VND,     買入,  0.00108,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00158,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 MYR,     買入,  6.73000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  8.52500,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 CNY,     買入,  4.75400,  4.82600,  4.82280,  4.81630,  4.79900,  4.79470,  4.78320,  4.77170,  4.76030,     賣出,  4.91600,  4.87600,  4.87470,  4.87220,  4.86270,  4.85480,  4.84620,  4.83760,  4.82900,
