幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.36000,30.66000,30.64700,30.62200,30.59000,30.55200,30.50800,30.46400,30.41200,本行賣出,30.90200,30.76000,30.75100,30.73300,30.70300,30.66700,30.63200,30.58500,30.54500,
HKD,本行買入,3.80600,3.92600,3.92500,3.92200,3.91900,3.91500,3.91000,3.90500,3.90000,本行賣出,4.00100,3.98600,3.98600,3.98500,3.98300,3.97900,3.97600,3.97200,3.96900,
GBP,本行買入,36.97000,37.84000,37.82500,37.79600,37.78800,37.77000,37.74400,37.71900,37.69300,本行賣出,38.90000,38.26000,38.26200,38.26500,38.26200,38.24600,38.23400,38.22100,38.20800,
AUD,本行買入,23.24000,23.43000,23.41200,23.37600,23.33600,23.29000,23.24000,23.19100,23.14200,本行賣出,23.90000,23.66000,23.64900,23.62800,23.59000,23.54500,23.50300,23.46200,23.42100,
CAD,本行買入,22.71000,22.98000,22.97000,22.94900,22.93100,22.90900,22.88300,22.85600,22.82900,本行賣出,23.45000,23.20000,23.19700,23.19000,23.17300,23.15300,23.13400,23.11500,23.09600,
SGD,本行買入,21.35000,21.77000,21.76000,21.74000,21.71700,21.69400,21.66400,21.63300,21.60200,本行賣出,22.13000,21.95000,21.94800,21.94300,21.92800,21.90400,21.88100,21.85800,21.83500,
CHF,本行買入,29.82000,30.35000,30.35000,30.35000,30.37700,30.39900,30.41500,30.43200,30.44800,本行賣出,30.88000,30.64000,30.65000,30.66900,30.70000,30.72600,30.75400,30.78200,30.81000,
JPY,本行買入,0.26330,0.26970,0.26970,0.26960,0.26970,0.26980,0.26980,0.26980,0.26980,本行賣出,0.27430,0.27370,0.27370,0.27380,0.27400,0.27410,0.27420,0.27430,0.27440,
ZAR,本行買入,0.00000,2.29000,2.28400,2.27300,2.25800,2.24200,2.22600,2.21000,2.19400,本行賣出,0.00000,2.37000,2.36600,2.35700,2.34300,2.32600,2.31100,2.29600,2.28100,
SEK,本行買入,3.01000,3.35000,3.35000,3.34900,3.35100,3.35200,3.35300,3.35300,3.35300,本行賣出,3.52000,3.45000,3.45100,3.45300,3.45500,3.45600,3.45800,3.45900,3.46100,
NZD,本行買入,21.65000,21.89000,21.87000,21.83000,21.78800,21.74000,21.68900,21.63800,21.58800,本行賣出,22.28000,22.09000,22.08000,22.06000,22.02000,21.97400,21.93000,21.88700,21.84400,
THB,本行買入,0.77430,0.86280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.91730,0.90280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.56190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.69490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00198,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,31.77000,32.27000,32.26500,32.25600,32.27000,32.27700,32.28000,32.28300,32.28600,本行賣出,32.92000,32.67000,32.67800,32.69500,32.71700,32.72800,32.74400,32.75900,32.77400,
KRW,本行買入,0.02524,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02914,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.85700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.39200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.38000,4.45200,4.44520,4.43160,4.41470,4.39550,4.37460,4.35380,4.33320,本行賣出,4.54200,4.50200,4.49780,4.48950,4.47610,4.45990,4.44510,4.43040,4.41570,
