幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.91500,30.21500,30.20000,30.17000,30.12800,30.08800,30.04600,30.00000,29.94700,本行賣出,30.45700,30.31500,30.30400,30.28100,30.23900,30.20000,30.16200,30.12200,30.08800,
HKD,本行買入,3.72500,3.84500,3.84400,3.84300,3.84100,3.83900,3.83500,3.83000,3.82600,本行賣出,3.92000,3.90500,3.90500,3.90600,3.90500,3.90200,3.89900,3.89600,3.89300,
GBP,本行買入,38.69000,39.56000,39.55400,39.54300,39.53100,39.51500,39.48500,39.45500,39.42500,本行賣出,40.62000,39.98000,39.98400,39.99200,39.98300,39.96900,39.95400,39.93800,39.92300,
AUD,本行買入,23.85000,24.04000,24.02400,23.99100,23.95700,23.91600,23.86800,23.82100,23.77400,本行賣出,24.51000,24.27000,24.26300,24.24800,24.21500,24.17600,24.13600,24.09700,24.05800,
CAD,本行買入,23.88000,24.15000,24.14300,24.13000,24.11400,24.09100,24.06000,24.02900,23.99800,本行賣出,24.62000,24.37000,24.36900,24.36800,24.35500,24.33400,24.31100,24.28800,24.26500,
SGD,本行買入,21.79000,22.21000,22.20200,22.18600,22.17200,22.15000,22.12400,22.09700,22.07000,本行賣出,22.57000,22.39000,22.38900,22.38600,22.37300,22.35300,22.33600,22.31800,22.30000,
CHF,本行買入,30.57000,31.10000,31.10600,31.11700,31.13900,31.16100,31.17500,31.19000,31.20500,本行賣出,31.63000,31.39000,31.40400,31.43300,31.45800,31.48100,31.50700,31.53400,31.56100,
JPY,本行買入,0.26560,0.27200,0.27200,0.27190,0.27190,0.27200,0.27200,0.27200,0.27200,本行賣出,0.27660,0.27600,0.27600,0.27610,0.27620,0.27620,0.27630,0.27640,0.27650,
ZAR,本行買入,0.00000,2.28000,2.27400,2.26300,2.24900,2.23400,2.21900,2.20400,2.18900,本行賣出,0.00000,2.36000,2.35500,2.34600,2.33300,2.31900,2.30400,2.29000,2.27600,
SEK,本行買入,3.35000,3.69000,3.69000,3.69000,3.69300,3.69400,3.69500,3.69600,3.69700,本行賣出,3.86000,3.79000,3.79100,3.79400,3.79700,3.79800,3.80100,3.80300,3.80500,
NZD,本行買入,22.42000,22.66000,22.64500,22.61400,22.57700,22.53500,22.48500,22.43500,22.38600,本行賣出,23.05000,22.86000,22.85000,22.83100,22.79600,22.75500,22.71400,22.67200,22.63100,
THB,本行買入,0.80450,0.89300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.94750,0.93300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.55010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.68310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00193,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00263,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.84000,35.34000,35.34000,35.33900,35.34900,35.35800,35.36400,35.36900,35.37500,本行賣出,35.99000,35.74000,35.74800,35.76400,35.77900,35.78900,35.80900,35.82900,35.84900,
KRW,本行買入,0.02523,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02913,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00096,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.01300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.58300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.39600,4.46800,4.46240,4.45120,4.43460,4.42170,4.40550,4.38920,4.37300,本行賣出,4.55800,4.51800,4.51450,4.50760,4.49330,4.48370,4.47210,4.46050,4.44890,
