幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.14500,30.44500,30.43100,30.40200,30.36300,30.32500,30.28200,30.23700,30.18400,本行賣出,30.68700,30.54500,30.53400,30.51300,30.47500,30.43700,30.40000,30.36000,30.32300,
HKD,本行買入,3.75500,3.87500,3.87400,3.87300,3.87100,3.86900,3.86500,3.86000,3.85600,本行賣出,3.95000,3.93500,3.93500,3.93600,3.93500,3.93200,3.92900,3.92600,3.92300,
GBP,本行買入,38.47000,39.34000,39.33400,39.32300,39.31100,39.29500,39.26500,39.23500,39.20500,本行賣出,40.40000,39.76000,39.76400,39.77200,39.76300,39.74900,39.73400,39.71800,39.70300,
AUD,本行買入,23.73000,23.92000,23.90400,23.87100,23.83700,23.79600,23.74800,23.70100,23.65400,本行賣出,24.39000,24.15000,24.14300,24.12800,24.09500,24.05600,24.01600,23.97700,23.93800,
CAD,本行買入,23.83000,24.10000,24.09300,24.08000,24.06400,24.04100,24.01000,23.97900,23.94800,本行賣出,24.57000,24.32000,24.31900,24.31800,24.30500,24.28400,24.26100,24.23800,24.21500,
SGD,本行買入,21.80000,22.22000,22.21200,22.19600,22.18200,22.16000,22.13400,22.10700,22.08000,本行賣出,22.58000,22.40000,22.39900,22.39600,22.38300,22.36300,22.34600,22.32800,22.31000,
CHF,本行買入,31.36000,31.89000,31.89600,31.90700,31.92900,31.95100,31.96500,31.98000,31.99500,本行賣出,32.42000,32.18000,32.19400,32.22300,32.24800,32.27100,32.29700,32.32400,32.35100,
JPY,本行買入,0.26410,0.27050,0.27050,0.27040,0.27040,0.27050,0.27050,0.27050,0.27050,本行賣出,0.27510,0.27450,0.27460,0.27470,0.27470,0.27480,0.27490,0.27500,0.27510,
ZAR,本行買入,0.00000,2.29000,2.28400,2.27300,2.25900,2.24400,2.22900,2.21400,2.19900,本行賣出,0.00000,2.37000,2.36500,2.35600,2.34300,2.32900,2.31400,2.30000,2.28600,
SEK,本行買入,3.32000,3.66000,3.66000,3.66000,3.66300,3.66400,3.66500,3.66600,3.66700,本行賣出,3.83000,3.76000,3.76100,3.76400,3.76700,3.76800,3.77100,3.77300,3.77500,
NZD,本行買入,22.25000,22.49000,22.47500,22.44400,22.40700,22.36500,22.31500,22.26500,22.21600,本行賣出,22.88000,22.69000,22.68000,22.66100,22.62600,22.58500,22.54400,22.50200,22.46100,
THB,本行買入,0.80570,0.89420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.94870,0.93420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.55150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.68450,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00198,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.76000,35.26000,35.26100,35.26300,35.27200,35.28600,35.29100,35.29600,35.30100,本行賣出,35.91000,35.66000,35.66900,35.68600,35.70400,35.71600,35.73500,35.75300,35.77200,
KRW,本行買入,0.02542,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02932,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.05900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.59400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.41200,4.48400,4.47830,4.46690,4.45150,4.43710,4.42090,4.40470,4.38860,本行賣出,4.57400,4.53400,4.52990,4.52170,4.50950,4.49830,4.48670,4.47520,4.46370,
