幣別,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天
 USD,     買入, 31.81000, 32.11000, 32.10300, 32.08800, 32.06900, 32.04700, 32.02500, 32.00200, 31.97600,     賣出, 32.35200, 32.21000, 32.20700, 32.20000, 32.18000, 32.15800, 32.14200, 32.12800, 32.11700,
 HKD,     買入,  3.99500,  4.11500,  4.11400,  4.11300,  4.11200,  4.11100,  4.10800,  4.10500,  4.10200,     賣出,  4.19000,  4.17500,  4.17500,  4.17600,  4.17500,  4.17400,  4.17200,  4.17000,  4.16800,
 GBP,     買入, 46.53000, 47.40000, 47.38600, 47.35900, 47.34100, 47.31900, 47.29900, 47.27800, 47.25800,     賣出, 48.46000, 47.82000, 47.81900, 47.81700, 47.79900, 47.78200, 47.77400, 47.76600, 47.75800,
 AUD,     買入, 23.88000, 24.07000, 24.05200, 24.01600, 23.97900, 23.94100, 23.89900, 23.86000, 23.82000,     賣出, 24.54000, 24.30000, 24.28800, 24.26500, 24.22900, 24.19200, 24.15700, 24.12400, 24.09100,
 CAD,     買入, 24.74000, 25.01000, 25.00100, 24.98200, 24.96900, 24.95400, 24.93700, 24.92100, 24.90400,     賣出, 25.48000, 25.23000, 25.22800, 25.22300, 25.21100, 25.19800, 25.18800, 25.17800, 25.16800,
 SGD,     買入, 23.51000, 23.93000, 23.91600, 23.88700, 23.86000, 23.83500, 23.80500, 23.77500, 23.74500,     賣出, 24.29000, 24.11000, 24.10600, 24.09800, 24.07600, 24.04600, 24.02400, 24.00200, 23.98000,
 CHF,     買入, 32.85000, 33.38000, 33.38400, 33.39200, 33.41700, 33.44300, 33.47100, 33.49900, 33.52700,     賣出, 33.91000, 33.67000, 33.68400, 33.71300, 33.73900, 33.76900, 33.80600, 33.84300, 33.88000,
 JPY,     買入,  0.29900,  0.30540,  0.30540,  0.30550,  0.30550,  0.30560,  0.30580,  0.30590,  0.30600,     賣出,  0.31000,  0.30940,  0.30960,  0.30990,  0.31000,  0.31010,  0.31030,  0.31060,  0.31090,
 ZAR,     買入,  0.00000,  2.16000,  2.15500,  2.14500,  2.13100,  2.11700,  2.10300,  2.08900,  2.07600,     賣出,  0.00000,  2.26000,  2.25600,  2.24700,  2.23400,  2.22000,  2.20700,  2.19400,  2.18100,
 SEK,     買入,  3.53000,  3.87000,  3.87000,  3.87100,  3.87200,  3.87500,  3.87800,  3.88000,  3.88200,     賣出,  4.04000,  3.97000,  3.97100,  3.97400,  3.97700,  3.97900,  3.98300,  3.98600,  3.98900,
 NZD,     買入, 22.75000, 22.99000, 22.96900, 22.92600, 22.88300, 22.83600, 22.79100, 22.74600, 22.70000,     賣出, 23.38000, 23.19000, 23.17700, 23.15100, 23.10800, 23.06300, 23.02400, 22.98500, 22.94600,
 THB,     買入,  0.80960,  0.89810,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.95260,  0.93810,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 PHP,     買入,  0.64210,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.77510,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 IDR,     買入,  0.00208,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00278,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 EUR,     買入, 35.78000, 36.28000, 36.28400, 36.29300, 36.30600, 36.31700, 36.33100, 36.34400, 36.35700,     賣出, 36.93000, 36.68000, 36.69600, 36.72700, 36.74200, 36.75700, 36.78600, 36.81600, 36.84500,
 KRW,     買入,  0.02618,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.03008,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 VND,     買入,  0.00107,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00157,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 MYR,     買入,  6.76700,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  8.56200,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 CNY,     買入,  4.78600,  4.85800,  4.85430,  4.84690,  4.83730,  4.82640,  4.81380,  4.80120,  4.78870,     賣出,  4.94800,  4.90800,  4.90630,  4.90280,  4.89450,  4.88610,  4.87740,  4.86870,  4.86010,
