幣別,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天
 USD,     買入, 31.98000, 32.28000, 32.27300, 32.25900, 32.23900, 32.21800, 32.19300, 32.16700, 32.13900,     賣出, 32.52200, 32.38000, 32.37700, 32.37000, 32.35100, 32.33000, 32.31200, 32.29500, 32.28300,
 HKD,     買入,  4.01200,  4.13200,  4.13100,  4.13000,  4.12900,  4.12800,  4.12500,  4.12200,  4.11900,     賣出,  4.20700,  4.19200,  4.19200,  4.19300,  4.19200,  4.19100,  4.18900,  4.18700,  4.18500,
 GBP,     買入, 45.82000, 46.69000, 46.67600, 46.64900, 46.63100, 46.60900, 46.58900, 46.56800, 46.54800,     賣出, 47.75000, 47.11000, 47.10900, 47.10700, 47.08900, 47.07200, 47.06400, 47.05600, 47.04800,
 AUD,     買入, 23.74000, 23.93000, 23.91200, 23.87600, 23.83900, 23.80100, 23.75900, 23.72000, 23.68000,     賣出, 24.40000, 24.16000, 24.14800, 24.12500, 24.08900, 24.05200, 24.01700, 23.98400, 23.95100,
 CAD,     買入, 24.84000, 25.11000, 25.10100, 25.08200, 25.06900, 25.05400, 25.03700, 25.02100, 25.00400,     賣出, 25.58000, 25.33000, 25.32800, 25.32300, 25.31100, 25.29800, 25.28800, 25.27800, 25.26800,
 SGD,     買入, 23.32000, 23.74000, 23.72600, 23.69700, 23.67000, 23.64500, 23.61500, 23.58500, 23.55500,     賣出, 24.10000, 23.92000, 23.91600, 23.90800, 23.88600, 23.85600, 23.83400, 23.81200, 23.79000,
 CHF,     買入, 32.60000, 33.13000, 33.13400, 33.14200, 33.16700, 33.19300, 33.22100, 33.24900, 33.27700,     賣出, 33.66000, 33.42000, 33.43400, 33.46300, 33.48900, 33.51900, 33.55600, 33.59300, 33.63000,
 JPY,     買入,  0.29190,  0.29830,  0.29830,  0.29830,  0.29840,  0.29850,  0.29860,  0.29870,  0.29880,     賣出,  0.30290,  0.30230,  0.30240,  0.30270,  0.30280,  0.30290,  0.30310,  0.30340,  0.30360,
 ZAR,     買入,  0.00000,  2.12000,  2.11500,  2.10500,  2.09100,  2.07700,  2.06300,  2.04900,  2.03600,     賣出,  0.00000,  2.22000,  2.21600,  2.20700,  2.19400,  2.18000,  2.16700,  2.15400,  2.14100,
 SEK,     買入,  3.59000,  3.93000,  3.93000,  3.93100,  3.93200,  3.93500,  3.93800,  3.94000,  3.94200,     賣出,  4.10000,  4.03000,  4.03100,  4.03400,  4.03700,  4.03900,  4.04300,  4.04600,  4.04900,
 NZD,     買入, 22.05000, 22.29000, 22.26900, 22.22600, 22.18300, 22.13600, 22.09100, 22.04600, 22.00000,     賣出, 22.68000, 22.49000, 22.47700, 22.45100, 22.40800, 22.36300, 22.32400, 22.28500, 22.24600,
 THB,     買入,  0.81320,  0.90170,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.95620,  0.94170,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 PHP,     買入,  0.65050,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.78350,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 IDR,     買入,  0.00208,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00278,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 EUR,     買入, 36.02000, 36.52000, 36.52100, 36.52400, 36.53600, 36.54900, 36.55900, 36.56800, 36.57800,     賣出, 37.17000, 36.92000, 36.93700, 36.97000, 36.98500, 37.00100, 37.02700, 37.05300, 37.07900,
 KRW,     買入,  0.02608,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.02998,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 VND,     買入,  0.00108,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00158,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 MYR,     買入,  6.68700,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  8.48200,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 CNY,     買入,  4.81900,  4.89100,  4.88610,  4.87640,  4.86880,  4.85800,  4.84420,  4.83040,  4.81660,     賣出,  4.98100,  4.94100,  4.94050,  4.93950,  4.93130,  4.92330,  4.91370,  4.90420,  4.89470,
