幣別,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天
 USD,     買入, 32.26000, 32.56000, 32.55000, 32.53100, 32.50700, 32.48500, 32.46000, 32.43600, 32.40700,     賣出, 32.80200, 32.66000, 32.65400, 32.64300, 32.62100, 32.59700, 32.58000, 32.56300, 32.54900,
 HKD,     買入,  4.04700,  4.16700,  4.16600,  4.16500,  4.16400,  4.16300,  4.16000,  4.15700,  4.15400,     賣出,  4.24200,  4.22700,  4.22700,  4.22800,  4.22700,  4.22600,  4.22400,  4.22200,  4.22000,
 GBP,     買入, 46.20000, 47.07000, 47.05600, 47.02900, 47.01100, 46.98900, 46.96900, 46.94800, 46.92800,     賣出, 48.13000, 47.49000, 47.48900, 47.48700, 47.46900, 47.45200, 47.44400, 47.43600, 47.42800,
 AUD,     買入, 23.37000, 23.56000, 23.54200, 23.50600, 23.46900, 23.43100, 23.38900, 23.35000, 23.31000,     賣出, 24.03000, 23.79000, 23.77800, 23.75500, 23.71900, 23.68200, 23.64700, 23.61400, 23.58100,
 CAD,     買入, 24.56000, 24.83000, 24.82100, 24.80200, 24.78900, 24.77400, 24.75700, 24.74100, 24.72400,     賣出, 25.30000, 25.05000, 25.04800, 25.04300, 25.03100, 25.01800, 25.00800, 24.99800, 24.98800,
 SGD,     買入, 23.16000, 23.58000, 23.56600, 23.53700, 23.51000, 23.48500, 23.45500, 23.42500, 23.39500,     賣出, 23.94000, 23.76000, 23.75600, 23.74800, 23.72600, 23.69600, 23.67400, 23.65200, 23.63000,
 CHF,     買入, 32.18000, 32.71000, 32.71400, 32.72200, 32.74700, 32.77300, 32.80100, 32.82900, 32.85700,     賣出, 33.24000, 33.00000, 33.01400, 33.04300, 33.06900, 33.09900, 33.13600, 33.17300, 33.21000,
 JPY,     買入,  0.28800,  0.29440,  0.29440,  0.29440,  0.29440,  0.29450,  0.29460,  0.29470,  0.29490,     賣出,  0.29900,  0.29840,  0.29850,  0.29870,  0.29880,  0.29890,  0.29920,  0.29940,  0.29970,
 ZAR,     買入,  0.00000,  2.03000,  2.02500,  2.01500,  2.00100,  1.98700,  1.97300,  1.95900,  1.94600,     賣出,  0.00000,  2.13000,  2.12600,  2.11700,  2.10400,  2.09000,  2.07700,  2.06400,  2.05100,
 SEK,     買入,  3.54000,  3.88000,  3.88000,  3.88100,  3.88200,  3.88500,  3.88800,  3.89000,  3.89200,     賣出,  4.05000,  3.98000,  3.98100,  3.98400,  3.98700,  3.98900,  3.99300,  3.99600,  3.99900,
 NZD,     買入, 21.84000, 22.08000, 22.05900, 22.01600, 21.97300, 21.92600, 21.88100, 21.83600, 21.79000,     賣出, 22.47000, 22.28000, 22.26700, 22.24100, 22.19800, 22.15300, 22.11400, 22.07500, 22.03600,
 THB,     買入,  0.81090,  0.89940,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.95390,  0.93940,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 PHP,     買入,  0.64990,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.78290,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 IDR,     買入,  0.00208,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00278,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 EUR,     買入, 35.68000, 36.18000, 36.17800, 36.17400, 36.18200, 36.19900, 36.21000, 36.22200, 36.23300,     賣出, 36.83000, 36.58000, 36.59300, 36.62000, 36.63200, 36.65000, 36.67700, 36.70400, 36.73000,
 KRW,     買入,  0.02561,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.02951,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 VND,     買入,  0.00108,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00158,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 MYR,     買入,  6.62700,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  8.42200,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 CNY,     買入,  4.84700,  4.91900,  4.91490,  4.90660,  4.89530,  4.88150,  4.86690,  4.85240,  4.83790,     賣出,  5.00900,  4.96900,  4.96680,  4.96240,  4.95360,  4.94260,  4.93230,  4.92210,  4.91200,
