幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.44000,31.74000,31.72000,31.68000,31.63500,31.59000,31.55100,31.50400,31.44200,本行賣出,31.98200,31.84000,31.82400,31.79300,31.75300,31.70500,31.66400,31.62000,31.59300,
HKD,本行買入,3.94700,4.06700,4.06600,4.06400,4.06300,4.06000,4.05700,4.05400,4.05100,本行賣出,4.14200,4.12700,4.12700,4.12700,4.12600,4.12400,4.12300,4.12100,4.11900,
GBP,本行買入,39.22000,40.09000,40.08200,40.06600,40.06900,40.06000,40.05000,40.04000,40.02900,本行賣出,41.15000,40.51000,40.51400,40.52100,40.52200,40.51400,40.51800,40.52200,40.52600,
AUD,本行買入,23.51000,23.70000,23.68300,23.64800,23.61300,23.57500,23.53400,23.49700,23.45700,本行賣出,24.17000,23.93000,23.92300,23.90900,23.87300,23.83800,23.80300,23.77300,23.74100,
CAD,本行買入,23.83000,24.10000,24.09200,24.07700,24.06400,24.04900,24.03000,24.01200,23.99300,本行賣出,24.57000,24.32000,24.31800,24.31500,24.30200,24.28700,24.27600,24.26500,24.25400,
SGD,本行買入,21.81000,22.23000,22.21800,22.19300,22.17500,22.16100,22.13700,22.11200,22.08800,本行賣出,22.59000,22.41000,22.41100,22.41400,22.39700,22.38500,22.36600,22.34700,22.32800,
CHF,本行買入,30.67000,31.20000,31.20300,31.20800,31.24400,31.27400,31.31000,31.34600,31.38200,本行賣出,31.73000,31.49000,31.50900,31.54700,31.58800,31.62600,31.66600,31.70500,31.74500,
JPY,本行買入,0.26780,0.27420,0.27420,0.27420,0.27410,0.27410,0.27410,0.27410,0.27410,本行賣出,0.27880,0.27820,0.27830,0.27850,0.27840,0.27840,0.27850,0.27860,0.27870,
ZAR,本行買入,0.00000,2.29000,2.28400,2.27200,2.25800,2.24200,2.22600,2.21100,2.19500,本行賣出,0.00000,2.37000,2.36500,2.35500,2.34100,2.32600,2.31100,2.29600,2.28200,
SEK,本行買入,3.08000,3.42000,3.42000,3.42100,3.42400,3.42700,3.43000,3.43200,3.43400,本行賣出,3.59000,3.52000,3.52200,3.52500,3.52800,3.53100,3.53400,3.53800,3.54200,
NZD,本行買入,22.53000,22.77000,22.74900,22.70700,22.66400,22.61700,22.57100,22.52400,22.47800,本行賣出,23.16000,22.97000,22.95900,22.93600,22.89200,22.84800,22.80800,22.76800,22.72800,
THB,本行買入,0.78940,0.87790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.93240,0.91790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.58960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.72260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00208,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00278,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.12000,33.62000,33.61900,33.61600,33.61100,33.60600,33.60500,33.60300,33.60200,本行賣出,34.27000,34.02000,34.03000,34.05000,34.05000,34.04200,34.05500,34.06800,34.08100,
KRW,本行買入,0.02553,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02943,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00103,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.71000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.49100,4.56300,4.55090,4.52670,4.50200,4.48450,4.46390,4.44430,4.42490,本行賣出,4.65300,4.61300,4.60420,4.58650,4.56100,4.55260,4.53870,4.52490,4.51120,
