幣別,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天
 USD,     買入, 31.71000, 32.01000, 32.00200, 31.98700, 31.96800, 31.94600, 31.92100, 31.89300, 31.86600,     賣出, 32.25200, 32.11000, 32.10600, 32.09800, 32.07900, 32.05700, 32.04000, 32.02200, 32.00600,
 HKD,     買入,  3.98300,  4.10300,  4.10200,  4.10100,  4.09900,  4.09700,  4.09500,  4.09200,  4.08900,     賣出,  4.17800,  4.16300,  4.16300,  4.16300,  4.16200,  4.16100,  4.15900,  4.15700,  4.15500,
 GBP,     買入, 41.01000, 41.88000, 41.86800, 41.84400, 41.82200, 41.80600, 41.78500, 41.76500, 41.74500,     賣出, 42.94000, 42.30000, 42.29800, 42.29400, 42.27600, 42.26000, 42.25400, 42.24800, 42.24200,
 AUD,     買入, 23.70000, 23.89000, 23.87200, 23.83500, 23.79100, 23.75100, 23.70600, 23.66500, 23.62100,     賣出, 24.36000, 24.12000, 24.10900, 24.08600, 24.04400, 24.00400, 23.96500, 23.93100, 23.89400,
 CAD,     買入, 23.94000, 24.21000, 24.20100, 24.18400, 24.16800, 24.15100, 24.13200, 24.11400, 24.09500,     賣出, 24.68000, 24.43000, 24.42900, 24.42700, 24.41000, 24.39400, 24.38300, 24.37200, 24.36100,
 SGD,     買入, 23.11000, 23.53000, 23.51900, 23.49700, 23.47000, 23.44500, 23.41900, 23.39300, 23.36700,     賣出, 23.89000, 23.71000, 23.70500, 23.69500, 23.67700, 23.65100, 23.63100, 23.61100, 23.59200,
 CHF,     買入, 31.59000, 32.12000, 32.12700, 32.14200, 32.16700, 32.19300, 32.22400, 32.25500, 32.28500,     賣出, 32.65000, 32.41000, 32.43000, 32.47100, 32.50200, 32.53700, 32.58500, 32.63300, 32.68100,
 JPY,     買入,  0.29560,  0.30200,  0.30200,  0.30210,  0.30220,  0.30240,  0.30260,  0.30280,  0.30300,     賣出,  0.30660,  0.30600,  0.30610,  0.30640,  0.30660,  0.30690,  0.30720,  0.30750,  0.30790,
 ZAR,     買入,  0.00000,  2.20000,  2.19400,  2.18200,  2.16700,  2.15200,  2.13700,  2.12300,  2.10900,     賣出,  0.00000,  2.28000,  2.27600,  2.26800,  2.25200,  2.23800,  2.22400,  2.21000,  2.19600,
 SEK,     買入,  3.32000,  3.66000,  3.66000,  3.65900,  3.66100,  3.66300,  3.66500,  3.66800,  3.67100,     賣出,  3.83000,  3.76000,  3.76200,  3.76600,  3.76900,  3.77200,  3.77500,  3.77800,  3.78100,
 NZD,     買入, 22.23000, 22.47000, 22.45000, 22.41000, 22.35700, 22.31000, 22.26100, 22.21100, 22.16100,     賣出, 22.86000, 22.67000, 22.65500, 22.62500, 22.57400, 22.52600, 22.48400, 22.44100, 22.39800,
 THB,     買入,  0.81270,  0.90120,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.95570,  0.94120,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 PHP,     買入,  0.63060,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.76360,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 IDR,     買入,  0.00208,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00278,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 EUR,     買入, 34.57000, 35.07000, 35.07300, 35.08000, 35.10200, 35.12800, 35.14700, 35.16700, 35.18600,     賣出, 35.72000, 35.47000, 35.48700, 35.52000, 35.54500, 35.57700, 35.61400, 35.65000, 35.68700,
 KRW,     買入,  0.02650,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.03040,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 VND,     買入,  0.00107,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00157,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 MYR,     買入,  6.62300,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  8.41800,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 CNY,     買入,  4.70600,  4.77800,  4.77390,  4.76580,  4.75590,  4.74410,  4.73090,  4.71770,  4.70460,     賣出,  4.86800,  4.82800,  4.82580,  4.82130,  4.81330,  4.80330,  4.79450,  4.78560,  4.77680,
