幣別,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天
 USD,     買入, 31.83000, 32.13000, 32.12100, 32.10400, 32.08300, 32.06300, 32.03800, 32.01500, 31.98900,     賣出, 32.37200, 32.23000, 32.22500, 32.21600, 32.19600, 32.17500, 32.16000, 32.14600, 32.13100,
 HKD,     買入,  3.99800,  4.11800,  4.11700,  4.11600,  4.11500,  4.11400,  4.11100,  4.10800,  4.10500,     賣出,  4.19300,  4.17800,  4.17800,  4.17900,  4.17800,  4.17700,  4.17500,  4.17300,  4.17100,
 GBP,     買入, 46.42000, 47.29000, 47.27600, 47.24900, 47.23100, 47.20900, 47.18900, 47.16800, 47.14800,     賣出, 48.35000, 47.71000, 47.70900, 47.70700, 47.68900, 47.67200, 47.66400, 47.65600, 47.64800,
 AUD,     買入, 23.95000, 24.14000, 24.12200, 24.08600, 24.04900, 24.01100, 23.96900, 23.93000, 23.89000,     賣出, 24.61000, 24.37000, 24.35800, 24.33500, 24.29900, 24.26200, 24.22700, 24.19400, 24.16100,
 CAD,     買入, 24.78000, 25.05000, 25.04100, 25.02200, 25.00900, 24.99400, 24.97700, 24.96100, 24.94400,     賣出, 25.52000, 25.27000, 25.26800, 25.26300, 25.25100, 25.23800, 25.22800, 25.21800, 25.20800,
 SGD,     買入, 23.58000, 24.00000, 23.98600, 23.95700, 23.93000, 23.90500, 23.87500, 23.84500, 23.81500,     賣出, 24.36000, 24.18000, 24.17600, 24.16800, 24.14600, 24.11600, 24.09400, 24.07200, 24.05000,
 CHF,     買入, 32.90000, 33.43000, 33.43400, 33.44200, 33.46700, 33.49300, 33.52100, 33.54900, 33.57700,     賣出, 33.96000, 33.72000, 33.73400, 33.76300, 33.78900, 33.81900, 33.85600, 33.89300, 33.93000,
 JPY,     買入,  0.29970,  0.30610,  0.30610,  0.30620,  0.30620,  0.30630,  0.30640,  0.30650,  0.30660,     賣出,  0.31070,  0.31010,  0.31020,  0.31050,  0.31060,  0.31070,  0.31100,  0.31120,  0.31150,
 ZAR,     買入,  0.00000,  2.16000,  2.15500,  2.14500,  2.13100,  2.11700,  2.10300,  2.08900,  2.07600,     賣出,  0.00000,  2.26000,  2.25600,  2.24700,  2.23400,  2.22000,  2.20700,  2.19400,  2.18100,
 SEK,     買入,  3.52000,  3.86000,  3.86000,  3.86100,  3.86200,  3.86500,  3.86800,  3.87000,  3.87200,     賣出,  4.03000,  3.96000,  3.96100,  3.96400,  3.96700,  3.96900,  3.97300,  3.97600,  3.97900,
 NZD,     買入, 22.82000, 23.06000, 23.03900, 22.99600, 22.95300, 22.90600, 22.86100, 22.81600, 22.77000,     賣出, 23.45000, 23.26000, 23.24700, 23.22100, 23.17800, 23.13300, 23.09400, 23.05500, 23.01600,
 THB,     買入,  0.81070,  0.89920,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.95370,  0.93920,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 PHP,     買入,  0.64270,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.77570,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 IDR,     買入,  0.00208,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00278,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 EUR,     買入, 35.74000, 36.24000, 36.24200, 36.24600, 36.25900, 36.26900, 36.28200, 36.29400, 36.30600,     賣出, 36.89000, 36.64000, 36.65600, 36.68700, 36.70600, 36.71700, 36.74600, 36.77500, 36.80400,
 KRW,     買入,  0.02622,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.03012,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 VND,     買入,  0.00107,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00157,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 MYR,     買入,  6.76900,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  8.56400,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 CNY,     買入,  4.78400,  4.85600,  4.85220,  4.84470,  4.83440,  4.82490,  4.81230,  4.79970,  4.78720,     賣出,  4.94600,  4.90600,  4.90390,  4.89980,  4.89170,  4.88410,  4.87540,  4.86680,  4.85820,
